6,p=0.5,p=0.25,p=0.75,p=0.85,p=0.15,p=0
instance seed:0,27300.118159,27207.865631,27225.746004,26977.842169,26983.086710,27007.773567
instance seed:1,27419.256399,27279.626536,27363.995774,27550.589730,27266.812973,27210.084867
instance seed:2,27782.592263,27566.149456,27641.494780,27902.199780,27440.983876,27623.292814
instance seed:3,27336.246344,27110.209628,27374.313967,27235.221827,26878.905963,27163.626332
instance seed:4,27005.481970,26950.132189,26842.021033,26974.862177,26641.971619,26762.857391
instance seed:5,27408.803926,27145.692860,27242.304529,27465.124638,27307.980597,27229.573974
instance seed:6,27061.221867,27312.448789,27443.750845,27343.496191,27079.522605,27329.646650
instance seed:7,27631.617347,27637.304969,27791.799656,27810.445942,27522.486348,27387.477937
instance seed:8,27191.207136,26829.750247,27003.515163,27287.723520,27278.448425,27141.421914
instance seed:9,27371.006730,27447.441303,27468.548608,27632.807422,27314.529330,27355.807785
